Respondent ID,Collector ID,Start Date,End Date,Do you use GitHub?,Do you implement GitHub in the classroom?,How familiar are you with GitHub?,How likely is it that you would recommend GitHub to a friend or colleague?,Do you use any sort of version control system in your classes?,Do you use GitHub Classroom?,What version control systems do you use in your course(s)? Select all that apply,,,,Which of the following Git features do you use in your courses?,,,,,,,,Which of the following GitHub features do you use in your courses? (Select all that apply),,,,,,,,,,,,Do you use GitHub to provide students in your course(s) with feedback on assignments?,Do students in your course(s) use GitHub to provide each other with feedback on assignments?,How long have you been using GitHub?,How long have you been implementing GitHub in your course(s)?,"In the future, will you continue to use GitHub in your course(s)?","In the future, will you use GitHub in your course(s)?",How easy or difficult was it to implement GitHub in the classroom?,How familiar were you with GitHub before implementing it in the classroom?,What tool(s) or resource(s) did you use to help with implementing GitHub in the classroom?,Which programming language(s) do you teach? (Select all that apply),,,,,,,,,,,,,What grade(s) or year(s) do you typically teach?,,,,,,,,,,,"In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by individual assignments?","In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by group assignments?",Roughly what percentage of students' overall grade is determined by individual assignments?,Roughly what percentage of students' overall grade is determined by group assignments?,Which of the following integrated development environments (IDEs) do students typically use in your courses? Select all that apply,,,,,,,,,,,,,,,,,About how many years have you been an instructor in your field?,What courses do you typically teach?,,,,,,,,,,,,,,,,,,,,,,,Age,Gender,,Race and Ethnicity (Select all that apply),,,,,,,,In what country do you live?
10678943477,230691319,4/22/19 7:50,4/22/19 7:55,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,9,Yes,Yes,Git,,,,Commits,,,,,,,,,,,,,,,,,,,Upload file(s),No,No,More than 3 years,1 - 6 months,Maybe,,Easy,Extremely familiar,,,,,,,,Python,,,,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,75,0,,,,,,,,IPython / Jupyter,,,,,,,,,,,spyder,20,,,,,,,,,,,,,,,,,,,,,,,Computational methods for physics,,,,,,,,,,,,
10677160316,230691319,4/20/19 15:24,4/20/19 15:41,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,,,Push / Pull,Resolving merge conflicts,,,,Issues,,README.md,,,,,,,,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Extremely familiar,Github Classroom. Visual Studio Code. Git Bash.,,,,,,,,,,,,,"Wollok, Haskell, Prolog.",,,,,,College sophomores,College juniors,,,,,25,25,,,,,Eclipse,,,,,,,,,Sublime Text,,,Visual Studio Code,,,13,,,,,,,,,,,,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,,,"Programming Paradigms, Functional, Logic, Object Oriented, OOP",32,Male,,,,Hispanic or Latino/Latina,,,,White or of European descent,,Argentina
10676977814,230691319,4/20/19 11:20,4/20/19 11:34,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,8,Yes,Yes,Git,,,,Commits,,,Push / Pull,,,,,,,README.md,,,,,,,,,,Yes,No,More than 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Very familiar,Command line tools found here: https://github.com/jfiksel/github-classroom-for-teachers,,,,,,,Python,,,,,,"Clojure, Haskell, Ruby, Prolog",,,,,College freshmen,College sophomores,College juniors,College seniors,,,,45,20,,,,Atom,,Emacs,,,,,,,,Sublime Text,,,,,,4,,,,,Artificial Intelligence,Computer Science I,,,,,,,,,,,Programming Languages,,,,,,,32,Male,,,,,,,,White or of European descent,,United States of America
10676737135,230691319,4/20/19 6:42,4/20/19 6:48,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Slightly familiar,8,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,README.md,Pull requests,,,,,,,,,Yes,Yes,More than 3 years,1 - 6 months,Yes,,Difficult,Moderately familiar,task,JavaScript,,,,Java,,,,,,,,,,,,,,,College juniors,,,,,40,60,,,Android Studio,,,,,,,,,,,,,,Visual Studio Code,,,3 Years,Algorithms,,,,,,,,,,,,,,,Platform-based Development,Programming Languages,,,,,Web development,,32,Male,,,East Asian,,,,,,,Indonesia
10676516447,230691319,4/20/19 1:44,4/20/19 2:00,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,6,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,,,Pull requests,Projects,Forks,,,,,,,Yes,No,More than 3 years,1 - 6 months,Yes,,Difficult,Moderately familiar,,,,,SQL,Java,,Python,,,,,,,,,,,,,,,Graduate level students,,,25,20,,,,,,,IntelliJ,,NetBeans,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,Security,,,,Web development,,52,Male,,,East Asian,,,,,,,Japan
10676436535,230691319,4/19/19 23:36,4/19/19 23:44,"No, and I have never used GitHub","No, and I would not like to implement GitHub in the classroom",Not at all familiar,0,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,,,,,,,,,,,,,,,,Maybe,,,,JavaScript,HTML,CSS,,,,,,,PHP,,,,High school freshmen,High school sophomores,High school juniors,High school seniors,,,,,,,,,,40,40,,,,,,,NetBeans,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Web development,,25,Male,,,,,,,South Asian,,,Philippines
10675658695,230691319,4/19/19 10:47,4/19/19 11:45,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,10,Yes,,,,Subversion,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,JavaScript,,,,,,,,,,,,,,,High school juniors,,,,,,,,,,,51,57,,,,,,,,,,,,,,,Visual Studio Code,,,,Algorithms,,,,,,,,,,,,,,,,,,,,,Web development,,45,Male,,,,,,,,,,
10675639675,230691319,4/19/19 10:35,4/19/19 10:43,"No, but I used to use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,6,"No, and I would not like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe,,,,,,CSS,,,,,,C#,PHP,,,,,,,,College freshmen,,,,,,,,,100,0,,,,,,,,Notepad++,,,,Sublime Text,,Visual Studio,,,,13,,,,,,,,,,Graphics and Visualization,,,,,,,,,,,,,Computer Music,43,Male,,,,,,,,White or of European descent,,United States of America
10675339229,230691319,4/19/19 7:42,4/19/19 7:47,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,Bash/Shell,,,,,,,Swift,,,,,,,,,,,6-8th grade students,,,20,27,,,,,,,,,,PyCharm,,,,,,XCode,,N/A,,,,,,,,,,,,,,,,,,,,,,,IT Operations ,36,Male,,,,,,,,White or of European descent,,United States of America
10675187853,230691319,4/19/19 6:14,4/19/19 6:59,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,8,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,Git-cherry-pick,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,,,,SQL,Java,,,,,,,,,,,,,,,,,Graduate level students,,,,,80,20,Android Studio,,Eclipse,,IntelliJ,,NetBeans,,,,,,,,Visual Studio Code,,,,Algorithms,,,,,Computer Science I,Computer Science II,,Data Structures,,,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,Systems Architecture,Web development,,38,Male,,,,Hispanic or Latino/Latina,,,,,,Brazil
10674168095,230691319,4/18/19 14:56,4/18/19 15:01,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,Branches,,Push / Pull,,,,,Issues,,README.md,Pull requests,,,,,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Very familiar,GitKraken,,,,,,,,R,,,,,,,,,,,,,,Graduate level students,,,30,70,,,,,,,,,,Notepad++,,,RStudio,,,,,,,3,,,,,,,,,,Graphics and Visualization,,,,,,,,,,,,,"Data Governance, Data Quality, Capstone Project",33,Male,,,,,,,,White or of European descent,,United States of America
10674104075,230691319,4/18/19 14:19,4/18/19 14:22,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,,,Maybe,,,,,,,,,,,R,,,,,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,,,70,30,,,,,,,,,,,RStudio,,,,,,,10,,,,,,,,,,Graphics and Visualization,,,,,,,,,,,,,Statistics,38,Male,,,East Asian,,,,,,,United States of America
10674026173,230691319,4/18/19 13:41,4/18/19 13:50,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,README.md,Pull requests,Projects,Forks,,Gists,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Difficult,Moderately familiar,"At first, I used the command line tools (""teacher"", or whatever it was called). Now superseded by Classroom.",JavaScript,HTML,CSS,,,Bash/Shell,,,,,,,mondoDB,,,,,,College sophomores,,,,,,30,,,,,Atom,,,,,,,,,,,,,Visual Studio Code,,,36,,,AP Computer Science - Principles,,,,,,,,,,,,,,,,,,,Web development,,67,Male,,,,,,,,White or of European descent,,United States of America
10673749343,230691319,4/18/19 11:45,4/18/19 11:54,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Maybe,,,,,HTML,,SQL,,Bash/Shell,Python,R,,,,,,,,,,,,,College seniors,Graduate level students,,,,,50,50,,Atom,,Emacs,,IPython / Jupyter,,,,,RStudio,Sublime Text,Vim,,,,,25,,,,,Artificial Intelligence,,,,,,,Machine Learning,,,,,,,,,,,,57,Male,,,,,,,South Asian,,,United States of America
10673522531,230691319,4/18/19 10:17,4/18/19 10:48,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,"If the class is low enough level and a student completely can't handle git, I will sometimes make an exception and allow them to just save a bunch of numbered versions of their file",Commits,Branches,Adding a remote,Push / Pull,,,,Project board and wiki,Issues,,README.md,,Projects,,,,,,,,Yes,No,More than 3 years,1 year - 3 years,Yes,,Difficult,Very familiar,I ended up having the windows students download git bash and doing command line so it would be the same interface for everyone. I found that some guis that were available on both mac and win aren't the same visually so they are confusing for some students.,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,,C,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,70,30,,,Android Studio,Atom,Eclipse,,IntelliJ,,,Notepad++,,,,Sublime Text,Vim,,Visual Studio Code,,IDLE,6,Algorithms,,,,Artificial Intelligence,Computer Science I,,,Data Structures,,Human-Computer Interaction,Machine Learning,,,,,,,Software Development Fundamentals,,,Web development,"programming for problem solving, mobile development, research practicum",43,Female,,,,,,,,White or of European descent,,United States of America
10673229951,230691319,4/18/19 8:30,4/18/19 8:36,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Extremely familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Maybe,,,,JavaScript,HTML,CSS,SQL,,,,,C#,PHP,,,,,,,,College freshmen,,College juniors,,,,,,,55,45,Android Studio,,,,,,,,PHPStorm,,,,,Visual Studio,Visual Studio Code,,,11,,,,,,,,,,,,,,,,,,,Software Development Fundamentals,Software Engineering,,Web development,,35,Male,,,,,,,South Asian,,,Vietnam
10673218065,230691319,4/18/19 8:26,4/18/19 8:29,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,9,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,,,,,,,Python,,,,,,,,,,,,,,,Graduate level students,,,,,40,20,,,,,,IPython / Jupyter,,,,,,,,,,,,4,,,,,,,,,,,,Machine Learning,,,,,,,,,,,Social Neuroscience,40,Male,,,,,,,,White or of European descent,,United States of America
10673192655,230691319,4/18/19 8:18,4/18/19 8:24,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,Issues,Labels,README.md,,,,,,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Very familiar,"GitHub classroom, MIT lectures on how they use it.",JavaScript,HTML,CSS,,,,Python,,,,,,,,,,,,,College juniors,College seniors,Graduate level students,,,35,15,,,,,,,,,,,,PyCharm,,,,,Visual Studio Code,,,5,,,,,,,,,,,,,Networking and Communication,,,,,Security,,,Systems Architecture,,,33,Male,,,,,,,,White or of European descent,,United States of America
10673090621,230691319,4/18/19 7:42,4/18/19 7:46,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,Yes,,Git,,Subversion,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,,,,,,Python,,,,,,,,,,,College freshmen,College sophomores,,,,,,,,50,50,,,,,IntelliJ,IPython / Jupyter,,,,PyCharm,,,,,Visual Studio Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10673072324,230691319,4/18/19 7:35,4/18/19 7:49,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Slightly familiar,9,Yes,No,Git,,,,Commits,Branches,,Push / Pull,,,,,,,README.md,Pull requests,,Forks,,Gists,,,,,Yes,No,More than 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Not at all familiar,"Sourcetree, Atom",,,,,Java,,Python,,,,,,Swift,,,,,College freshmen,,,,,,,80,15,,,Android Studio,,,,,,NetBeans,,,PyCharm,,,,,,XCode,,25,,,,,,Computer Science I,Computer Science II,,,,,,,,,,,,,,,,"Videogames development, Mobile apps develpment for Android/iOS",48,Male,,,,Hispanic or Latino/Latina,,,,,,Mexico
10672926745,230691319,4/18/19 6:39,4/18/19 6:48,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,9,Yes,No,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,,Pull requests,Projects,,,,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Moderately familiar,not sure,,HTML,CSS,SQL,,Bash/Shell,,,,PHP,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,,Non-traditional students,,50,50,,,,,,,,,NetBeans,,PHPStorm,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,Web development,web and database,56,Male,,,,,,,,White or of European descent,,United States of America
10672824428,230691319,4/18/19 5:57,4/18/19 6:02,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,Issues,Labels,,Pull requests,Projects,Forks,Stars,,,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Very familiar,,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,,,,,,High school sophomores,High school juniors,,,,,,,,,27,62,,,Android Studio,,Eclipse,,IntelliJ,,,,,PyCharm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672772308,230691319,4/18/19 5:33,4/18/19 6:01,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,,Forks,,Gists,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Easy,Extremely familiar,"linux, terminal, web browser, that's it.",JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,"Java, Groovy, Pascal",,,,,College freshmen,College sophomores,College juniors,College seniors,,,,50,25,,,Android Studio,Atom,,,IntelliJ,,NetBeans,,,,,,Vim,,Visual Studio Code,,,8,Algorithms,,,,,,,,,,Human-Computer Interaction,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,Systems Architecture,Web development,Software Testing,32,Male,,,,Hispanic or Latino/Latina,,,,,,Brazil
10672714945,230691319,4/18/19 5:04,4/18/19 5:14,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,Git-cherry-pick,,Issues,Labels,README.md,,Projects,,,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Very easy,Extremely familiar,GitKraken and VSCode,JavaScript,HTML,CSS,SQL,,,Python,,,PHP,,,,High school freshmen,,,,,,College juniors,,Graduate level students,,,65,80,,,Android Studio,Atom,Eclipse,,,,,Notepad++,,,,,,,Visual Studio Code,XCode,,8,Algorithms,AP Computer Science - A,AP Computer Science - Principles,Architecture and Organization,,,,,Data Structures,,,,Networking and Communication,Operating Systems,,,Programming Languages,,,,,Web development,,37,Male,,,,,,,,White or of European descent,,Brazil
10672712411,230691319,4/18/19 5:03,4/18/19 5:11,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,,Forks,,,,,,,No,No,More than 3 years,1 - 6 months,Yes,,Easy,Slightly familiar,"Wikis, youtube videos",,,,SQL,Java,Bash/Shell,,,,,,,,,,,,,,,College seniors,Graduate level students,,,25,75,,,,Atom,Eclipse,,IntelliJ,,,Notepad++,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,Software Development Fundamentals,Software Engineering,,Web development,,48,Male,,,,,,,,White or of European descent,,United States of America
10672633419,230691319,4/18/19 4:16,4/18/19 4:22,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,No,Git,,,,Commits,Branches,,,,,,,,,README.md,,,,,Gists,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Very familiar,,JavaScript,HTML,CSS,,,,,,,,,,,High school freshmen,High school sophomores,High school juniors,High school seniors,,,,,,,Courses,50,50,,,,Atom,,,,,,,,,,,Vim,,,,,6,Algorithms,,,,,,,,Data Structures,,,,,,,,,,,Software Engineering,,,,30,Male,,,,,,,South Asian,,,Brazil
10672418230,230691319,4/18/19 1:45,4/18/19 1:54,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,,Python,R,,,,,,,,,,,,,,Graduate level students,,,,,80,20,,,,,,,,,,,RStudio,,,,,,,20,,,,,Artificial Intelligence,,,,Data Structures,,,Machine Learning,,,,,,,,,,,,56,Male,,,East Asian,,,,,,,Japan
